id,parameter_set_id,source,qualifier,amount,units
14795,2499,Incentive,,5.0000,"$/square foot"
14796,2500,Incentive,,0.2500,"$/square foot"
14797,2500,Incentive,max,50.0000,"% of cost"
14811,4164,Incentive,,0.0500,$/kWh
14812,4165,Incentive,min,100.0000,$/Unit
14813,4165,Incentive,max,300.0000,$
14814,4166,Incentive,min,125.0000,$/Unit
14815,4166,Incentive,max,350.0000,$
14816,4167,Incentive,,0.0500,"$/kWh (1 year)"
14817,4168,Incentive,min,35.0000,$/Unit
14818,4168,Incentive,max,1260.0000,$
14819,4169,Incentive,,0.0500,"$/kWh (1 year)"
14820,3898,Incentive,,25.0000,$/Unit
14821,3898,Incentive,max,75.0000,$
14822,3899,Incentive,,100.0000,$/Unit
14823,3900,Incentive,,70.0000,$/Unit
14824,3901,Incentive,,75.0000,$/Unit
14825,3902,Incentive,,2.0000,"$/square foot"
14826,3903,Incentive,,50.0000,$/Unit
14827,3904,Incentive,,0.1500,"$/square foot"
14828,3905,Incentive,,400.0000,$/Unit
14829,4170,Incentive,,850.0000,$
14830,4171,Incentive,min,200.0000,$
14831,4171,Incentive,max,250.0000,$
14832,4172,Incentive,,3.0000,"$/square foot"
14833,4173,Incentive,min,500.0000,$
14834,4173,Incentive,max,1400.0000,$
14835,4175,Incentive,min,300.0000,
14836,4175,Incentive,max,500.0000,
14837,461,Incentive,,1.0000,$/W
14838,461,Incentive,max,3000.0000,$
14839,4176,Incentive,min,100.0000,$
14840,4176,Incentive,max,200.0000,$
14841,4177,Incentive,,75.0000,$
14842,4178,Incentive,,50.0000,$
14843,4179,Incentive,,50.0000,$
14844,4180,Incentive,min,50.0000,$
14845,4180,Incentive,max,200.0000,$
14846,4182,Incentive,min,35.0000,$
14847,4182,Incentive,max,70.0000,$
14848,4183,Incentive,,0.0800,$/kWh
14849,4184,Incentive,,1.0000,"$/square foot"
14850,4185,Incentive,,200.0000,$/Unit
14870,4186,Incentive,,25.0000,$/Unit
14871,4186,Incentive,,0.2500,"$/square foot"
14872,4187,Incentive,min,0.1000,"$/square foot"
14873,4188,System,max,25.0000,Tons
14874,4188,Incentive,,30.0000,$/ton
14875,4189,System,min,6.0000,Tons
14876,4189,System,max,25.0000,Tons
14877,4189,Incentive,,30.0000,$/ton
14878,4190,Incentive,,0.0500,"$/square foot"
14879,4191,Incentive,min,50.0000,$/ton
14880,4191,Incentive,max,100.0000,$/ton
14881,4192,Incentive,min,60.0000,$/horsepower
14882,4192,Incentive,max,100.0000,$/horsepower
14883,4193,Incentive,,125.0000,$/Unit
14884,4194,Incentive,min,200.0000,$/Unit
14885,4194,Incentive,max,500.0000,$/Unit
14886,4195,Incentive,min,10.0000,$/horsepower
14887,4195,Incentive,max,40.0000,$/horsepower
14888,4195,Incentive,,20.0000,$/ton
14889,4196,Incentive,,10.0000,"% of cost"
14890,4197,Incentive,min,0.1000,"$/square foot"
14891,4198,Incentive,,25.0000,$/Unit
14892,4198,Incentive,,0.2500,"$/square foot"
14893,4199,System,max,25.0000,Tons
14894,4199,Incentive,,30.0000,$/ton
14895,4200,System,min,6.0000,Tons
14896,4200,System,max,25.0000,Tons
14897,4200,Incentive,,30.0000,$/ton
14898,4201,Incentive,,0.0500,"$/square foot"
14899,4202,Incentive,min,50.0000,$/ton
14900,4202,Incentive,max,100.0000,$/ton
14901,4203,Incentive,min,60.0000,$/horsepower
14902,4203,Incentive,max,100.0000,$/horsepower
14903,4204,Incentive,min,200.0000,$/Unit
14904,4204,Incentive,max,500.0000,$/Unit
14905,4205,Incentive,,125.0000,$/Unit
14906,4206,Incentive,min,10.0000,$/horsepower
14907,4206,Incentive,max,40.0000,$/horsepower
14908,4206,Incentive,,20.0000,$/ton
14909,4207,Incentive,min,40.0000,$/ton
14910,4207,Incentive,max,80.0000,$/ton
14911,4208,Incentive,,10.0000,"% of cost"
14918,4209,Incentive,min,30.0000,$/ton
14919,4209,Incentive,max,75.0000,$/ton
14920,4210,Incentive,min,70.0000,$/ton
14921,4210,Incentive,max,200.0000,$/ton
14922,4211,Incentive,min,60.0000,$/horsepower
14923,4211,Incentive,max,100.0000,$/horsepower
14924,4212,Incentive,,2.5000,"$/square foot"
14925,4213,Incentive,,0.0500,"$/square foot"
14926,4214,Incentive,min,0.4000,"$/square foot"
14927,4214,Incentive,max,0.5500,"$/square foot"
14928,4215,Incentive,,50.0000,$/Unit
14929,4216,Incentive,min,200.0000,$/Unit
14930,4216,Incentive,max,500.0000,$/Unit
14931,4217,Incentive,,10.0000,$/Unit
14932,4218,Incentive,,125.0000,$/Unit
14933,4219,Incentive,min,20.0000,$/Unit
14934,4219,Incentive,max,50.0000,$/Unit
14935,4220,Incentive,min,35.0000,$/Unit
14936,4220,Incentive,max,60.0000,$/Unit
14937,4221,Incentive,min,15.0000,$/Unit
14938,4221,Incentive,max,30.0000,$/Unit
14939,4222,Incentive,min,1.0000,$/Unit
14940,4222,Incentive,max,200.0000,$/Unit
14941,4223,Incentive,,30.0000,$/ton
14942,4223,Incentive,max,75.0000,$/ton
14943,4224,Incentive,min,70.0000,$/ton
14944,4224,Incentive,max,200.0000,$/ton
14945,4225,Incentive,min,60.0000,$/horsepower
14946,4225,Incentive,max,100.0000,$/horsepower
14947,4226,Incentive,min,40.0000,$/ton
14948,4226,Incentive,max,80.0000,$/ton
14949,4227,Incentive,,2.5000,"$/square foot"
14950,4228,Incentive,,0.0500,"$/square foot"
14951,4229,Incentive,min,0.4000,"$/square foot"
14952,4229,Incentive,max,0.5500,"$/square foot"
14953,4230,Incentive,,50.0000,$/Unit
14954,4231,Incentive,min,200.0000,$/Unit
14955,4231,Incentive,max,500.0000,$/Unit
14956,4232,Incentive,,10.0000,$/Unit
14957,4233,Incentive,,125.0000,$/Unit
14958,4234,Incentive,min,20.0000,$/Unit
14959,4234,Incentive,max,50.0000,$/Unit
14960,4235,Incentive,min,35.0000,$/Unit
14961,4235,Incentive,max,60.0000,$/Unit
14962,4236,Incentive,min,15.0000,$/Unit
14963,4236,Incentive,max,30.0000,$/Unit
14964,4237,Incentive,min,1.0000,$/Unit
14965,4237,Incentive,max,200.0000,$/Unit
14966,4238,Incentive,min,80.0000,$/Unit
14967,4238,Incentive,max,1100.0000,$/Unit
14968,4239,Incentive,max,0.1800,"$/first year kWh savings"
14969,4239,Incentive,max,70.0000,"% of cost"
14970,4240,Incentive,min,1.0000,$/Unit
14971,4240,Incentive,max,200.0000,$/Unit
14972,4241,Incentive,min,35.0000,$/Unit
14973,4241,Incentive,max,60.0000,$/Unit
14974,4242,Incentive,max,0.1800,"$/first year kWh savings"
14975,4242,Incentive,max,70.0000,"% of cost"
14976,4243,Incentive,min,1.0000,$/Unit
14977,4243,Incentive,max,200.0000,$/Unit
14978,4244,Incentive,min,35.0000,$/Unit
14979,4244,Incentive,max,60.0000,$/Unit
14980,4156,Incentive,,475.0000,$/Unit
14981,4157,Incentive,min,400.0000,$/Unit
14982,4158,Incentive,,400.0000,$/Unit
14983,4159,Incentive,,325.0000,$/Unit
14984,4160,Incentive,min,125.0000,$/Unit
14985,4161,Incentive,min,100.0000,$/Unit
14988,4246,Incentive,,0.2500,"$/first year kWh savings"
14989,4246,Incentive,,450.0000,$/kW
14990,4245,Incentive,,0.2500,"$/first year kWh savings"
14991,4245,Incentive,,450.0000,$/kW
14992,90,Incentive,max,450.0000,$
14993,4247,Incentive,,0.4000,$/W-AC
14994,4247,Incentive,max,2500.0000,$
14995,4248,Incentive,,0.5000,$/W-AC
14996,4248,Incentive,max,12500.0000,$/W-AC
14997,119,Incentive,,3.0000,"$/square foot"
14998,119,Incentive,max,300.0000,$
14999,119,Incentive,max,75.0000,"% of cost"
15000,117,Incentive,,100.0000,%
15001,2831,Incentive,max,250.0000,$
15002,118,Incentive,min,75.0000,$/kW
15003,118,Incentive,max,999999.9999,$
15016,4249,Incentive,min,250.0000,$/Unit
15017,4249,Incentive,max,500.0000,$/Unit
15018,4250,Incentive,min,750.0000,$/Unit
15019,4250,Incentive,max,2500.0000,$/Unit
15020,4251,Incentive,,50.0000,"% of cost"
15021,4251,Incentive,max,40.0000,$
15022,4252,Incentive,min,45.0000,$/Unit
15023,4252,Incentive,max,125.0000,$/Unit
15024,4253,Incentive,min,250.0000,$/Unit
15025,4253,Incentive,max,300.0000,$/Unit
15026,4254,Incentive,,25.0000,"% of cost"
15027,4254,Incentive,max,250.0000,$
15028,4255,Incentive,min,50.0000,$/Unit
15029,4255,Incentive,max,80.0000,$/Unit
15030,4256,Incentive,,25.0000,$/Unit
15031,4257,Incentive,,25.0000,$/Unit
15032,4258,Incentive,,80.0000,"% of cost"
15033,4258,Incentive,max,300.0000,$
15034,4259,Incentive,max,70.0000,"% of cost"
15035,4260,Incentive,max,3.0000,"$/square foot"
15036,4261,Incentive,min,600.0000,$/Unit
15037,4261,Incentive,max,1500.0000,$/Unit
15050,382,Incentive,,3000.0000,$/Unit
15051,383,Incentive,,30.0000,$/Unit
15052,384,Incentive,,15.0000,$/Unit
15053,386,Incentive,min,800.0000,$/Unit
15054,386,Incentive,max,1900.0000,$/Unit
15055,387,Incentive,min,200.0000,$/Unit
15056,387,Incentive,max,250.0000,$/Unit
15057,388,Incentive,,3.0000,"$/square foot"
15058,389,Incentive,,1150.0000,$/Unit
15160,4281,Incentive,,40.0000,$/ton
15161,4282,Incentive,,150.0000,$/Unit
15162,4283,Incentive,,200.0000,$/Unit
15163,4284,Incentive,,250.0000,$/Unit
15164,4285,Incentive,,2.5000,"$/square foot"
15193,4272,Incentive,min,50.0000,$/Unit
15194,4272,Incentive,max,400.0000,$/Unit
15195,4273,Incentive,min,15.0000,$/Unit
15196,4273,Incentive,max,25.0000,$/Unit
15197,4274,Incentive,,55.0000,$/Unit
15198,4275,Incentive,,2.0000,$/bulb
15199,4276,Incentive,min,400.0000,$/Unit
15200,4276,Incentive,max,1500.0000,$/Unit
15201,4277,Incentive,min,300.0000,$/Unit
15202,4277,Incentive,max,400.0000,$/Unit
15203,4278,Incentive,min,0.1500,"$/square foot"
15204,4278,Incentive,max,0.6000,"$/square foot"
15205,4279,Incentive,,4.5000,"$/square foot"
15206,4280,Incentive,,40.0000,$/Unit
15207,1118,Incentive,max,30.0000,"% of cost"
15208,1118,Incentive,max,3000.0000,$
15209,1119,Incentive,max,30.0000,"% of cost"
15210,1119,Incentive,max,7500.0000,$
15211,1120,Incentive,max,50.0000,"% of cost"
15212,1120,Incentive,max,30000.0000,$
15225,4286,Incentive,min,500.0000,$/Unit
15226,4286,Incentive,max,1000.0000,$/Unit
15227,4287,Incentive,min,200.0000,$/Unit
15228,4287,Incentive,max,750.0000,$/Unit
15229,4288,Incentive,min,300.0000,$/Unit
15230,4288,Incentive,max,450.0000,$/Unit
15231,4289,Incentive,,1.0000,$/therm
15232,4290,Incentive,min,60.0000,$/Unit
15233,4290,Incentive,max,80.0000,$/Unit
15234,4291,Incentive,min,30.0000,$/Unit
15235,4291,Incentive,max,40.0000,$/Unit
15236,4292,Incentive,min,50.0000,$/Unit
15237,4292,Incentive,max,60.0000,$/Unit
15238,4293,Incentive,min,15.0000,$/Unit
15239,4293,Incentive,max,25.0000,$/Unit
15240,4294,Incentive,min,100.0000,$/Unit
15241,4294,Incentive,max,125.0000,$/Unit
15242,4295,Incentive,,80.0000,$/Unit
15243,4296,Incentive,,0.1100,$/kWh
15244,4297,Incentive,,0.0900,$/kWh
15245,4298,Incentive,,0.1000,$/kWh
15248,2009,Incentive,min,500.0000,$/Unit
15249,2009,Incentive,max,1500.0000,$
15278,4300,Incentive,min,1.0000,$/Unit
15279,4300,Incentive,max,200.0000,$/Unit
15280,4301,Incentive,min,20.0000,$/Unit
15281,4301,Incentive,max,40.0000,$/Unit
